"ID"	"Title"	"Tags"
"3031789255"	"UC Berkeley"	"[""Academics"", ""Education"", ""Tech""]"
"AFXdance"	"AFX"	"[""1""]"
"ArgentineTangoClubBerkeley"	"Argentine Tango Club"	"[4, 19, 14]"
"ascendberkeleychapter"	"Ascend"	"[11, 18, 3]"
"ASUCAVP"	"ASUC AVP"	"[""1""]"
"ASUCEAVP"	"ASUC EAVP Office"	"[1, 29]"
"bapberkeley"	"Beta Alpha Psi"	"[10, 3]"
"beacn"	"BEACN"	"[""1""]"
"berkeley.aiche"	"American Institute Of Chemical Engineers"	"[1, 23, 27]"
"BerkeleyABA"	"Berkeley ABA"	"[""Business""]"
"berkeleyAcademics"	"Berkeley Academics"	"[""Seminar"", ""Academics"", ""Education""]"
"BerkeleyArtCenter"	"Berkeley Art Center"	"[2]"
"berkeleyASA"	"Afghan Student Association"	"[4, 25]"
"berkeleycalpirg"	"Calpirg "	"[5, 23, 28]"
"berkeleycmg"	"CMG Strategy Consulting"	"[""Business"", ""Professional""]"
"berkeleycodebase"	"codebase"	"[""Tech""]"
"berkeleycsa"	"Chinese Student Association"	"[4, 25]"
"berkeleyExhibition"	"Berkeley Exhibition"	"[""Media"", ""Culture"", ""Arts""]"
"berkeleyFilms"	"Berkeley Films"	"[""Culture"", ""Arts"", ""Media""]"
"berkeleyforum"	"The Berkeley Forum"	"[8, 5, 24]"
"BerkeleyGA"	"The Graduate Assembly"	"[8, 24, 25]"
"BerkeleyIEOR"	"Department of Industrial Engineering & Operations Research"	"[""Industry"", ""Tech"", ""Education""]"
"berkeleyijlis"	"Berkeley Institute for Jewish Law And Israel Studies"	"[1, 4, 21]"
"BerkeleyInternationalOffice"	"Berkeley International Office"	"[5, 4, 1]"
"BerkeleyInvestmentGroup"	"Berkeley Investment Group"	"[1, 6, 32]"
"berkeleykasa"	"Korean American Student Association"	"[25, 18, 4]"
"berkeleyLectures"	"Berkeley Lecture Series"	"[""Education"", ""Research"", ""Academics""]"
"berkeleyphichi"	"Phi Chi"	"[""Professional"", ""Greek""]"
"berkeleyproject"	"The Berkeley Project"	"[15, 28]"
"berkeleyPSE"	"Pi Sigma Epsilon"	"[""Professional"", ""Business"", ""Greek""]"
"berkeleySports"	"Berkeley Sports"	"[""Recreational"", ""Sports""]"
"BerkeleyStudentCooperative"	"BerkeleyStudentCooperative"	"[""1""]"
"BerkeleySymphony"	"UC Berkeley Symphony Orchestra"	"[14]"
"berkhillel"	"Hillel Jewish Student Center"	"[1, 21, 4]"
"BlockchainatBerkeley"	"Blockchain at Berkeley"	"[11, 27, 5]"
"BOAAatBerkeley"	"Berkeley Organization for Animal Advocacy"	"[5, 28]"
"BSCForum"	"BSCF"	"[""Business"", ""Tech"", ""Professional""]"
"calaurumcosmetics"	"Autumn Cosmetics"	"[""1""]"
"CalBCEC"	"Business Careers In Entertainment"	"[2, 3, 11]"
"CalCareerCenter"	"UC Berkeley Career Center"	"[20, 11, 18]"
"calmsa"	"Muslim Student Association"	"[4, 21]"
"calperformances"	"Berkeley Performing Arts"	"[""Culture"", ""Recreational"", ""Arts""]"
"caltransfercenter"	"caltransfer"	"[""1""]"
