LOC,DAY,IS_OPEN,MSG,HOT GRAINS,ENTREES,MUFFIN,BYO BAR
Crossroad,0,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Rolled Oatmeal"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Savory Tofu, Spinach, Tomato Scramble"": [""Soybeans"", ""Vegan Option""], ""Tater Tots"": [""Vegan Option""], ""Roasted Linguica"": [""Milk"", ""Contains Pork""], ""Egg Whites"": [""Egg"", ""Vegetarian Option""], ""Pancakes"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Bacon Egg and Cheese Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""]}","{""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",
Crossroad,1,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Rolled Oatmeal"": [""Vegan Option""], ""Grits"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Sweet Potato Home Fries"": [""Vegan Option""], ""Bacon"": [""Contains Pork""], ""Egg Whites"": [""Egg"", ""Vegetarian Option""], ""Spiced French Toast"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Vegan Mung Bean Fried Rice"": [""Egg"", ""Soybeans"", ""Sesame"", ""Vegetarian Option"", ""Contains Alcohol""], ""Biscuits and Pork Gravy"": [""Milk"", ""Wheat"", ""Contains Gluten"", ""Contains Pork""]}","{""Chocolate Chip Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Toffee Caramel Scone"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Avocado Toast"": [""Milk"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}"
Crossroad,2,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Rolled Oatmeal"": [""Vegan Option""], ""Jook with Green Onions and Egg"": [""Egg"", ""Sesame"", ""Vegetarian Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Bacon and Cheese Scramble"": [""Milk"", ""Egg"", ""Contains Pork""], ""Hashbrown Patty"": [""Vegan Option""], ""Egg Whites"": [""Egg"", ""Vegetarian Option""], ""Chicken Apple Sausage"": [], ""Blueberry Oatmeal"": [""Egg"", ""Tree Nuts"", ""Soybeans"", ""Vegetarian Option""], ""Fried Plantains with Granola and Berries"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Calabacitas Breakfast Burrito"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Blueberry Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Blueberry Scone"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",
Crossroad,3,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Rolled Oatmeal"": [""Vegan Option""], ""Quinoa Coconut Porridge"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Pan-fried Potatoes and Peppers"": [""Soybeans"", ""Vegan Option""], ""Pork Patty"": [""Contains Pork""], ""Egg Whites"": [""Egg"", ""Vegetarian Option""], ""Chocolate Chip Pancakes"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Soyrizo Scramble"": [""Soybeans"", ""Vegan Option""]}","{""Apple Cinnamon Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Cranberry Orange Scone"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Bagel Bar"": [""Milk"", ""Egg"", ""Fish"", ""Wheat"", ""Soybeans"", ""Sesame"", ""Contains Gluten""]}"
Crossroad,4,False,No Breakfast Menu,,,,
Crossroad,5,False,No Breakfast Menu,,,,
Crossroad,6,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Rolled Oatmeal"": [""Vegan Option""], ""Malt o Meal"": [""Vegan Option"", ""Contains Gluten""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Tater Tots"": [""Vegan Option""], ""Pork Sausage Links"": [""Contains Pork""], ""Egg Whites"": [""Egg"", ""Vegetarian Option""], ""Spiced French Toast"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Chilaquiles"": [""Soybeans"", ""Vegan Option""], ""Crimini Mushroom and Kale Breakfast Burrito"": [""Milk"", ""Egg"", ""Wheat"", ""Contains Gluten""]}","{""Apple Cinnamon Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Blueberry Scone"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Yogurt Parfait Bar"": [""Milk"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}"
Foothill,0,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Rolled Oatmeal"": [""Vegan Option""], ""Jook with Green Onions and Egg"": [""Egg"", ""Sesame"", ""Vegetarian Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Savory Tofu, Spinach, Tomato Scramble"": [""Soybeans"", ""Vegan Option""], ""Tater Tots"": [""Vegan Option""], ""Egg Whites"": [""Egg"", ""Vegetarian Option""], ""Pancakes"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Farro Pilaf with Beet Hash"": [""Wheat"", ""Contains Gluten""], ""Bacon Egg and Cheese Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""]}","{""Banana Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Cranberry Orange Scone"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",
Foothill,1,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Rolled Oatmeal"": [""Vegan Option""], ""Grits"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Sweet Potato Home Fries"": [""Vegan Option""], ""Bacon"": [""Contains Pork""], ""Egg Whites"": [""Egg"", ""Vegetarian Option""], ""Spiced French Toast"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Mung Bean Breakfast Sandwich"": [""Milk"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Biscuits and Pork Gravy"": [""Milk"", ""Wheat"", ""Contains Gluten"", ""Contains Pork""]}","{""Chocolate Chip Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Toffee Caramel Scone"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Avocado Toast"": [""Milk"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}"
Foothill,2,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Rolled Oatmeal"": [""Vegan Option""], ""Jook with Green Onions and Egg"": [""Egg"", ""Sesame"", ""Vegetarian Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Basil and Cheese Scramble"": [""Milk"", ""Egg"", ""Vegetarian Option""], ""Hashbrown Patty"": [""Vegan Option""], ""Egg Whites"": [""Egg"", ""Vegetarian Option""], ""Chicken Apple Sausage"": [], ""Blueberry Oatmeal"": [""Egg"", ""Tree Nuts"", ""Soybeans"", ""Vegetarian Option""], ""Fried Plantains with Granola and Berries"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Calabacitas Breakfast Burrito"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Blueberry Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Blueberry Scone"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",
