uuid,Title,Organization,Location,Description,Start time,End time,Published,Public,Tags,Interested,Favorites,Creation date,Last Modified,Has cover,Capacity
46f5ab12-845d-5efe-a814-7540589e694f,Israeli Women in Combat: Conversation with Ayelet Harel-Shalev,berkeleyijlis,"110 Boalt Hall, Berkeley, CA 94704, United States",,2020-04-01 00:30:00,2020-04-01 02:00:00,1,1,"[1, 4, 21]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
6af65972-2e6c-5db7-9ef1-12d6ea4847f4,Google Case Competition,ucberkeleylbsa,"Latino Business Student Association, Berkeley, CA",,2020-03-06 16:00:00,2020-03-06 17:30:00,1,1,"[3, 4, 18]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
f0c09222-a4ac-574a-91d1-c2121fc8af75,Soccer Game Social,ucberkeleylbsa,"Latino Business Student Association, Berkeley, CA",,2020-03-08 18:00:00,2020-03-08 19:30:00,1,1,"[3, 4, 18]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
9c8cdc56-c091-5b17-a254-f497a711f2eb,Goldman Sachs Investing in Stocks Workshop,ucberkeleylbsa,"Latino Business Student Association, Berkeley, CA",,2020-03-12 01:30:00,2020-03-12 03:00:00,1,1,"[3, 4, 18]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
f417ef84-8884-53ad-9f68-d46df0b5727c,LBSA Networking Luncheon: LBSA Member Invitation,ucberkeleylbsa,"Stephens Lounge, Berkeley, CA",,2020-03-15 18:00:00,2020-03-15 19:30:00,1,1,"[3, 4, 18]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
f9471013-392f-508b-b98e-e40732feca11,The Berkeley Project,ucberkeleylbsa,"Latino Business Student Association, Berkeley, CA",,2020-04-11 16:00:00,2020-04-11 17:30:00,1,1,"[3, 4, 18]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
b9ad3cf2-1ed2-5752-b9b2-380b2a70d8c5,KAPS Networking and Career Panel,berkeleykasa,VLSB 2040,,2020-03-13 02:00:00,2020-03-13 03:30:00,1,1,"[25, 18, 4]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
76b07ff8-6562-5659-9c40-62b6e5bc1a47,March SCET Coffee Collider & Networking,SutardjaCenter,"UC Berkeley Sutardja Center for Entrepreneurship and Technology - SCET, Berkeley, CA",,2020-03-10 23:00:00,2020-03-11 00:30:00,1,1,"[6, 11, 5]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
e8e3ce4d-8862-5b72-a741-3a58d0fd42b0,AFX Spring 2020: Family Time Workshop #1,AFXdance,"Upper Sproul, Berkeley, CA",,2020-03-07 00:00:00,2020-03-07 01:30:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
268e9c72-b937-5507-8835-22ff025c7bf8,Beyond Business: Corporate Social Responsibility,bapberkeley,"Anna Head Alumnae Hall, Berkeley, CA",,2020-03-12 02:00:00,2020-03-12 03:30:00,1,1,"[10, 3]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
