LOC,DAY,IS_OPEN,MSG,ENTREES,BEAR FIT,GRILLED,PIZZAS,PASTAS,DESSERTS,SOUPS,DELI AND SALAD BAR,HOT GRAINS,BREAKFAST,MUFFIN,FUSION,CENTER OF THE PLATE,SPECIALTY SALADS,KOSHER DELI,DANISH
Crossroad,0,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Street Tacos"": [""Shellfish""], ""Vegan Taquitos"": [""Soybeans"", ""Vegan Option""]}","{""Spring Mix"": [""Vegan Option""], ""Red Rice"": [""Vegan Option""], ""Yukon Potatoes"": [""Vegan Option""], ""Black Beans"": [""Vegan Option""], ""Romano Beans"": [""Vegan Option""], ""Cabbage Stir Fry"": [""Vegan Option""], ""Roasted Kohlrabi Medley"": [""Vegan Option""], ""Halal Chicken"": [""Halal""], ""Halal Beef"": [""Halal""], ""Bear Fit Toppings"": [""Vegan Option""], ""Bear Fit Sauces"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Hamburger"": [""Wheat"", ""Soybeans""]}","{""Cheese Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Meat Lovers Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""]}","{""Peas and Pesto Pasta"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Raspberry Sammie"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Peach Pie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""German Chocolate Cake"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Red Velvet Cupcakes"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,,,,,,,
Crossroad,1,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Chicken Tinga"": [], ""Vegetable Tinga"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Cilantro Lime Rice"": [""Vegan Option""], ""Black Beans"": [""Vegan Option""]}","{""Baby Spinach"": [""Vegan Option""], ""Hominy"": [""Vegan Option""], ""Millet"": [""Vegan Option""], ""Kidney Beans"": [""Vegan Option""], ""Pinto Beans"": [""Vegan Option""], ""Squash Medley"": [""Vegan Option""], ""Roasted Tomatoes"": [""Vegan Option""], ""Halal Chicken"": [""Halal""], ""Halal Beef"": [""Halal""], ""Bear Fit Toppings"": [""Vegan Option""], ""Bear Fit Sauces"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Kielbasa Sausage Sandwich"": [""Wheat"", ""Sesame"", ""Contains Gluten"", ""Contains Pork""], ""Vegan Sausage Sandwich"": [""Wheat"", ""Sesame"", ""Vegan Option"", ""Contains Gluten""], ""Shoestring Fries"": [""Vegan Option""]}","{""Chicken Pesto and Roma Tomato Pizza"": [""Milk"", ""Wheat"", ""Contains Gluten""], ""Roma Tomato and Pesto Pizza"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Pasta Puttanesca"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Heath Toffee Crunch Blondie"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Vegan Chocolate Chip Cookies"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Cherry Pie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Mini Salted Truffle Cheesecake"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Italian Wedding Soup"": [""Milk"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Tomato Garden Soup"": [""Vegan Option""]}","{""Beet and Goat Cheese Salad"": [""Milk"", ""Vegetarian Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}",,,,,,,,
Crossroad,2,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Char Sui Pork"": [""Wheat"", ""Soybeans"", ""Sesame"", ""Contains Gluten"", ""Contains Pork""], ""Vegan Char Siu"": [""Wheat"", ""Soybeans"", ""Sesame"", ""Contains Gluten""], ""Vegetarian Fried Rice"": [""Egg"", ""Soybeans"", ""Sesame"", ""Vegetarian Option"", ""Contains Alcohol""], ""Fermented Black Bean Cabbage"": [""Vegan Option""]}","{""Arugula"": [""Vegan Option""], ""."": [], ""Butternut Squash"": [""Vegan Option""], ""Garbanzo Beans"": [""Vegan Option""], ""Navy Beans"": [""Vegan Option""], ""Haricot Vert"": [""Vegan Option""], ""Cabbage Stir Fry"": [""Vegan Option""], ""Halal Chicken"": [""Halal""], ""Halal Beef"": [""Halal""], ""Bear Fit Toppings"": [""Vegan Option""], ""Bear Fit Sauces"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Crispy Chicken Tenders"": [""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Chickenless Tenders"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Garlic Fries"": [""Vegan Option""]}","{""Artichoke Ham Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Contains Gluten"", ""Contains Pork""], ""Artichoke and Spinach Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Asparagus and Lemon Cream Pasta"": [""Milk"", ""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Raspberry Sammie"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Vegan Chocolate Chip Cookies"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Chocolate Cake"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Chocolate Brownie Bites"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Chicken Noodle Soup"": [""Egg"", ""Wheat"", ""Contains Gluten""], ""Carrot Ginger Soup"": [""Soybeans"", ""Sesame"", ""Vegan Option""]}","{""Potato Salad"": [""Egg"", ""Vegetarian Option"", ""Contains Alcohol""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}",,,,,,,,
Crossroad,3,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Seafood Etoufee"": [""Milk"", ""Shellfish"", ""Wheat"", ""Contains Gluten""], ""Cajun Tofu"": [""Soybeans"", ""Vegan Option""], ""Converted Rice"": [""Vegan Option""], ""Collard Greens"": [""Vegan Option""], ""Cornbread"": [""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Spring Mix"": [""Vegan Option""], ""Wild Rice"": [""Vegan Option""], ""Amaranth"": [""Vegan Option""], ""Romano Beans"": [""Vegan Option""], ""Cranberry Beans"": [""Vegan Option""], ""Stir Fry Eggplant"": [""Vegan Option""], ""Brussles Sprouts Medley"": [""Vegan Option""], ""Halal Chicken"": [""Halal""], ""Halal Beef"": [""Halal""], ""Bear Fit Toppings"": [""Vegan Option""], ""Bear Fit Sauces"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Beef Sliders"": [""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Lentil Pesto and Vegetable Wrap"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""French Fries"": [""Vegan Option""]}","{""Chorizo Tomato Corn and Pasilla Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Contains Gluten"", ""Contains Pork""], ""Tomato Corn and Pasilla Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Baked Penne"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Baguette"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""]}","{""Chocolate Chunk Brownie"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Luscious Lemon Bar"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Vegan Lemon Sugar Cookie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Vanilla and Chocolate Cupcakes"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""New England Clam Chowder"": [""Milk"", ""Fish"", ""Shellfish"", ""Wheat"", ""Contains Gluten""], ""Three Bean Chili"": [""Vegan Option""]}","{""Edamame & Corn Salad"": [""Soybeans"", ""Vegan Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}",,,,,,,,
Crossroad,4,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Honey Mustard Roasted Chicken"": [""Soybeans""], ""Miso Glazed Tilapia"": [""Fish"", ""Soybeans"", ""Sesame""], ""Vegan Sausage"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Quinoa Risotto"": [""Soybeans"", ""Vegan Option""], ""Vegetable Medley"": [""Vegan Option""]}",,,"{""Meatball Parmesan Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Analogue Meatball Parmesan Pizza"": [""Milk"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten"", ""Contains Alcohol""]}","{""Artichoke Kalamata and Lemon Pasta"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",,"{""Hungarian Mushroom Soup"": [""Milk"", ""Contains Alcohol""], ""Chipotle Sweet Potato Soup"": [""Sesame"", ""Vegan Option""]}","{""Cucumber Tomato & Corn Salad"": [""Vegan Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Rolled Oatmeal"": [""Vegan Option""], ""Malt o Meal"": [""Vegan Option"", ""Contains Gluten""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Potato Wedges"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Turkey Links"": [], ""Egg Whites"": [""Egg"", ""Vegetarian Option""], ""Waffles"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Savory Tofu, Spinach, Tomato Scramble"": [""Soybeans"", ""Vegan Option""]}","{""Banana Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Toffee Caramel Scone"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,,
Crossroad,5,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Thyme & Rosemary Roasted Tri Tip"": [], ""Pineapple Glazed Ham"": [""Contains Pork""], ""Vegan Celebration Roast"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Buttery Mashed Potatoes"": [""Milk"", ""Soybeans"", ""Vegetarian Option""], ""Sauteed Green Beans"": [""Vegan Option""]}",,,"{""Meat Lovers Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""], ""Roasted Pepper Deluxe Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Vegetable Lasagna"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Baguette"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""]}",,"{""Lobster Bisque"": [""Milk"", ""Fish"", ""Shellfish"", ""Wheat"", ""Contains Gluten"", ""Contains Alcohol""], ""Lentil Soup"": [""Vegan Option""]}","{""Herbed Pasta Salad"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Rolled Oatmeal"": [""Vegan Option""], ""Grits"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Scrambled Eggs"": [""Egg"", ""Vegetarian Option""], ""Hashbrown Patty"": [""Vegan Option""], ""Bacon"": [""Contains Pork""], ""Egg Whites"": [""Egg"", ""Vegetarian Option""], ""Waffles"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Just Egg Patty"": [""Vegan Option""]}","{""Blueberry Muffin"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Cranberry Orange Scone"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Assorted Danish"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,,
Crossroad,6,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Mac and Cheese Bar"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Spring Mix"": [""Vegan Option""], ""Millet"": [""Vegan Option""], ""Acorn Squash"": [""Vegan Option""], ""Garbanzo Beans"": [""Vegan Option""], ""Black Beans"": [""Vegan Option""], ""Haricot Vert"": [""Vegan Option""], ""Roasted Peppers"": [""Vegan Option""], ""Halal Chicken"": [""Halal""], ""Halal Beef"": [""Halal""], ""Bear Fit Toppings"": [""Vegan Option""], ""Bear Fit Sauces"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Tex Mex Beef Sliders"": [""Milk"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Black Bean Tex Mex Sliders"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Shoestring Fries"": [""Vegan Option""]}","{""Ham Peas Basil and Fontina Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Contains Gluten"", ""Contains Pork""], ""Peas Basil and Fontina Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Spinach and Cream Pasta"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Dinner Roll"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""]}","{""Flourless Chocolate Torte"": [""Milk"", ""Egg"", ""Soybeans"", ""Vegetarian Option""], ""Carrot Cake"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Vegan Lemon Sugar Cookie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Mini Vanilla Cheesecake"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Italian Wedding Soup"": [""Milk"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Carrot Ginger Soup"": [""Soybeans"", ""Sesame"", ""Vegan Option""]}","{""Tomato Couscous Salad"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}",,,,,,,,
Foothill,0,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Street Tacos"": [""Shellfish""]}",,"{""Philly Cheesesteak Sandwich"": [""Milk"", ""Wheat"", ""Sesame"", ""Contains Gluten""], ""Vegan Philly Cheesesteak"": [""Wheat"", ""Soybeans"", ""Sesame"", ""Vegan Option"", ""Contains Gluten""], ""Garlic Fries"": [""Vegan Option""]}","{""Sausage Onion and Bell Pepper Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""], ""Mushroom Onion and Bell Pepper Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Mushroom Ragu"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Raspberry Sammie"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Peach Pie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""German Chocolate Cake"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Red Velvet Cupcakes"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Hungarian Mushroom Soup"": [""Milk"", ""Contains Alcohol""], ""Tomato Garden Soup"": [""Vegan Option""]}","{""Black Bean & Corn Salad"": [""Vegan Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}",,,,"{""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}",,,,
Foothill,1,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Shrimp Lomo Saltado"": [""Shellfish""], ""Vegetable Lomo Saltado"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Long Grain Rice"": [""Vegan Option""], ""Green Bean Radish and Corn"": [""Vegan Option""]}",,"{""Bacon Lettuce Tomato Sandwich"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""], ""Avocado Lettuce Tomato Sandwich"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Housemade Chips"": [""Vegan Option""]}","{""Pepperoni Pepperoncini Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Margherita Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Vegetable Lasagna"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Heath Toffee Crunch Blondie"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Vegan Chocolate Chip Cookies"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Cherry Pie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Mini Salted Truffle Cheesecake"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Italian Wedding Soup"": [""Milk"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Split Pea with Kale Soup"": [""Vegan Option""]}","{""Beet and Goat Cheese Salad"": [""Milk"", ""Vegetarian Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}",,,,"{""Burrito Bowl"": [""Milk"", ""Wheat"", ""Contains Gluten"", ""Contains Pork""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}",,,,
Foothill,2,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Fried Chicken"": [""Wheat"", ""Contains Gluten""], ""Chickenless Tenders"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Macaroni and Cheese"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Sauteed Green Beans"": [""Vegan Option""], ""Biscuit"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}",,"{""Beef Sliders"": [""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Sunflower Cutlet Sandwich"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Potato Salad"": [""Egg"", ""Vegetarian Option"", ""Contains Alcohol""]}","{""Corn Chicken Pesto and Parmesan Cheese Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Contains Gluten""], ""Corn and Parmesan Cheese Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Vegetable Lasagna"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Raspberry Sammie"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Vegan Chocolate Chip Cookies"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Chocolate Cake"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Chocolate Brownie Bites"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Butternut Squash and Apple Soup"": [""Milk"", ""Contains Alcohol""], ""Three Bean Chili"": [""Vegan Option""]}","{""Potato Salad"": [""Egg"", ""Vegetarian Option"", ""Contains Alcohol""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}",,,,"{""Char Sui Pork"": [""Wheat"", ""Soybeans"", ""Sesame"", ""Contains Gluten"", ""Contains Pork""], ""Vegan Char Siu"": [""Wheat"", ""Soybeans"", ""Sesame"", ""Contains Gluten""], ""Singapore Noodles"": [""Wheat"", ""Sesame"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Vegetable Stir Fry"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}",,,,
